hotel_address,hotel_name
610 S Frontage Rd,Best Western Ambassador Inn & Suites
6145 Commerce Blvd,Motel 6
45 Eisenhower Dr,Best Western Central Inn
800 E Park Dr,Best Western Premier The Central Hotel & Conference Center
650 N 109th Ct,Best Western Old Mill Inn
2001 E Reno Ave,Bricktown Hotel & Convention Center
106 S 15th St,Residence Inn Omaha Downtown/Old Market Area
1401 S 72nd St,Hampton Inn Omaha Midtown-Aksarben Area
27 Schooner Creek Rd,Schooner Creek Resort
100 Westbank Expy,Econo Lodge
1211 Us Highway 17 N,Tropicana Motel
3975 Us Highway 441 S,Best Western Lake Okeechobee
850 Village Oak Ln,Hampton Inn Suites Lake Mary At Colonial Townpark
609 Evernia St,Hotel Evernia
4350 Executive Cir,Hampton Inn Suites Fort Myers-Colonial Blvd.
4335 Williamstown Blvd,Suburban Extended Stay
2901 N Ocean Dr,Pousada Suites
27706 Jefferson Ave,Best Western Country Inn
540 E County Road 89,Hampton Inn & Suites Fremont
40 Wood Ave,Meadowlands Plaza Hotel
7800 Dune Dr,Concord Suites
3300 Lake Tahoe Blvd,Inn by the Lake
2910 W University Dr,Best Western Plus Denton Inn & Suites
9550 Silverdale Way NW,Oxford Suites Silverdale
819 Phillips Ln,Courtyard Louisville Airport
4 Grove Isle Dr,Palmeiras Beach Club at Grove Isle
660 W El Camino Real,Courtyard Sunnyvale Mountain View
1401 Ringling Blvd,Aloft Sarasota
223 Castillo St,"Brisas del Mar, Inn at the Beach"
1710 W Mission Bay Dr,"The Dana On Mission Bay, BW Premier Collection"
8200 N Lake Blvd,Ferrari's Crown Resort
1301 Withers Dr,Aqua Beach Inn
3030 Plaza Properties Blvd,Four Points by Sheraton Columbus Ohio Airport
2102 S C St,Holiday Inn Express & Suites Tacoma Downtown
7900 Mall Ring Rd,Hyatt Place Atlanta-East/Lithonia
7115 N Howard St,Holiday Inn Express & Suites Fresno (River Park) Hwy 41
500 Cresson Blvd,Hilton Garden Inn Valley Forge/Oaks
16730 Creek Bend Dr,Hyatt Place Houston/Sugar Land
203 S Glenstone Ave,Best Western Route 66 Rail Haven
3240 Buford Dr,Hampton Inn Atlanta-Mall Of Georgia
240 First St,"Quality Hotel & Suites ""At The Falls"""
2300 N Hayden Island Dr,Holiday Inn Express & Suites Portland-Jantzen Beach
50 W Daily Dr,Hampton Inn & Suites Camarillo
811 Clover Rd,Best Western Luxury Inn
8021 E 33rd St,Sleep Inn & Suites Central/I-44
6900 Memorial Blvd,Suburban Extended Stay Hotel
213 Bendel Rd,Bendel Executive Suites
125 E Kaliste Saloom Rd,Best Western Plus Vermilion River Suites Hotel
321 Settlers Trace Blvd,SpringHill Suites Lafayette South at River Ranch
921 N Martin Luther King Hwy,"Motel 6 Lake Charles, LA"
1426 S Entertainment Ave,Oxford Suites Boise
107 N Carter Rd,Quality Inn Suites
8350 Brook Rd,Econo Lodge
501 N Andy Griffith Pkwy,Mayberry Motor Inn
2113 E Sherman Ave,Japan House Suites
4624 Fairlane Dr,Comfort Inn South
707 S Hopkins Ave,Three Oaks Motel
1330 Blairstone Rd,Hilton Garden Inn Tallahassee Central
210 S Magnolia Dr,Home2 Suites by Hilton Tallahassee State Capitol
6630 Old Collamer Rd,Extended Stay America Syracuse - Dewitt
2912 Petit St,Residence Inn Camarillo
1020 Wilkinson Trce,Hilton Garden Inn Bowling Green
4646 Scottsville Rd I65 At Exit 22,Quality Inn
233 Three Springs Rd,Hampton Inn Bowling Green
5689 Old Orchard Bluff Rd,Harbourfront Motel
520 Water St,River Side Motel Marina
4778 S Straits Hwy,Brentwood Lodging
828 E Shepherd St,Americas Best Value Inn - Charlotte
258 Brockway Ave,North Port Motel
1101 Us Highway 41 W,Value Host Motor Inn
100 Eden St,Bar Harbor Motel
7 Cromwell Ln,Acadia Suites
396 State Highway 3,Robbins Motel
40 Kebo St,Quality Inn
870 Port Clyde Rd,Ocean House Hotel
1124 E 4th St,Rodeway Inn
3021 S Locust St,Americas Best Value Inn Suites Grand Island
300 Broadway Ave E,Days Inn Mattoon
5700 State Route 154,Americas Best Value Inn Suites
980 W Ottawa Rd,Paxton Inn Motel
170 Center St,Americas Best Value Inn
1639 E Jackson St,Hampton Inn Macomb
420 S Murray Rd,Magnuson Hotel Heritage Inn
57 S Gilbert St,Best Western Riverside Inn
360 Eastgate Dr,Best Western Regency Inn
300 Eastlight Ct,Best Western Plus Peoria
1200 W University Ave,Hampton Inn Champaign Urbana
1605 N University Ave,Motel 6 Lafayette - University Ave
1731 W Prien Lake Rd,Wingate by Wyndham Lake Charles Casino Area
1200 Pintail St,Best Western Plus Executive Hotel Suites
1951 N Service Rd E,Quality Inn
1700 17 Mile Dr,The Lodge at Pebble Beach
14620 Aviation Blvd,SpringHill Suites Los Angeles LAX/Manhattan Beach
651 Fountain Rd,Courtyard Philadelphia Plymouth Meeting
908 Buchanan Dr,Best Western Post Oak Inn
100 N West St,Arrowhead Motel
810 O St,Frederick Hotel Cafe
1100 W 10th St,Best Western West Hills Inn
2707 S Locust St,Best Western Plus Grand Island Inn Suites
801 R St,Hilton Garden Inn Lincoln Downtown Haymarket
825 Ocean Hwy,Econo Lodge
1040 Whittier Hwy,Berry Pond Motel
73 Route 3 S,Carroll Motel Cottages
167 E Tropicana Ave,Americas Best Value Inn Las Vegas
2233 Las Vegas Blvd S,Fun City Motel
1267 Main St,Hearthside Village Cottage Motel
1315 S 42nd St,"My Place Hotel-Grand Forks, ND"
1100 Danby Rd,"Country Inn & Suites By Carlson, Ithaca, NY"
10 Campanelli Dr,Courtyard Boston Andover
1317 Kenley Ave,Comfort Inn
8929 Old Number Six Hwy,Quality Inn Suites
3428 South St,Best Western Inn of Nacogdoches
217 Waller Ave,Executive Inn
8980 River Crossing Blvd,Hampton Inn Suites Indianapolis-Keystone
31 Frontage Rd,Comfort Suites
3941 South St,Hampton Inn Lafayette
150 Fairington Ave,Courtyard by Marriott Lafayette
110 Sunny Hill Cv,Rodeway Inn
105 Hillvale Rd,Hampton Inn Knoxville/Clinton I-75
4350 Cosby Hwy,The Cub Motel
201 Stone Brook Dr,America's Best Value Inn Suites
3731 Pulaski Hwy,Econo Lodge
723 E Commerce St,Richland Inn - Lewisburg
1695 Pickwick St,Days Inn Savannah
7835 Rhea County Hwy,Best Western Dayton
811 N Campbell Station Rd,Comfort Suites
1544 Bear Creek Pike,Comfort Inn
2811 Decatur Pike,Comfort Inn
18 Old Ridgebury Rd,Hat City Tavern
78 Federal Rd,Quality Inn & Suites
2610 Pearson Dr,Hampton Inn Suites Hudson
5006 E Morgan Ave,Quality Inn East
473 Clayton Rd,Best Western Plus Raton Hotel
1200 Fall River Rd,Deer Crest Resort
141 Scott Hill Rd,"The Pines Lodge, A RockResort"
8750 Grant St,Crossland Economy Studios Denver - Thornton
921 Canyon Rd,Baker's Sunset Bay Resort
219 Buan Ave,Hampton Inn Tomah
1500 Lake St,Algoma Beach Motel
100 S Washington St,Heritage Court Motel
811 Dominion Dr,Quality Inn
106 Central Ave,Kozy Rest Motel
101 McDonald Ave,Wingate by Wyndham - Joliet
621 Bob Blair Rd,Hampton Inn Suites Minooka
16 W Us Highway 6,Tourest Motel
1156 W Galena Ave,Town House Motel
1551 S Sleezer Home Rd,Super 8 Freeport
3756 Parkway,Quality Inn Suites at Dollywood Lane
2025 Parkway,Hampton Inn Suites Pigeon Forge On The Parkway
1020 Parkway,Sleep Inn
1503 N 12th St,Best Western University Inn
1025 E Christi Dr,Econo Lodge Inn and Suites
100 Northcreek Blvd,Fairwinds Inn
809 Wren Rd,Magnuson Hotel Nashville North
6200 Papermill Dr,Travelodge Knoxville West
1554 Bear Creek Pike,Super 8 Columbia
601 N Weisgarber Rd,Hampton Inn Suites Knoxville Papermill Drive
207 E Mountcastle Dr,Econo Lodge Inn Suites
3118 Browns Mill Rd,Comfort Suites
8928 W State Road 114,Comfort Suites
455 Commerce Rd,Hampton Inn Suites Richmond
4402 E Broadway Service Rd,Days Inn & Suites Madison
1080 Newtown Pike,Residence Inn Lexington North
2609 University Blvd,Holiday Inn Ames Conference Center At Isu
209 S Adams St,Governor's Inn
2308 W Wisconsin Ave,Ambassador Hotel
3510 Millpond Rd,Magnuson Grand Hotel
3208 S Carolyn Ave,Comfort Suites
4300 West Empire Place,Courtyard by Marriott Sioux Falls
4343 Collins Ave,Four Points by Sheraton Miami Beach
5455 Green Park Dr,Hyatt Place Dallas/Las Colinas
6808 South 107th East Avenue,Renaissance Tulsa Hotel & Convention Center
3910 Ulmerton Rd,Comfort Inn & Suites
3001 University Center Dr,Baymont Inn & Suites Tampa near Busch Gardens / USF
10 Century Blvd,Embassy Suites by Hilton Nashville Airport
170 Admiral Cochrane Dr,Residence Inn Annapolis
5001 S Ulster St,Hampton Inn & Suites Denver Tech Center
2520 Stirling Rd,Quality Inn & Suites Airport/Cruise Port South
14455 Penasquitos Dr,DoubleTree by Hilton Golf Resort San Diego
250 Spring St,Holiday Inn Express Charleston Dwtn - Ashley River
1 Old Golf Course Rd,Hyatt Regency Monterey Hotel and Spa on Del Monte Golf Course
5606 Carpinteria Ave,Holiday Inn Express & Suites Carpinteria
1180 E Ojai Ave,The Capri Hotel
101 Valley View Dr,Savanna Inn & Suites
120 N Washington St,Braidwood Motel
1550 State Route 50,Fairfield Inn Kankakee Bourbonnais
2050 Sullivan Rd,Courtyard Atlanta Airport South/Sullivan Road
4505 Best Rd,Days Inn College Park Airport Best Road
3615 Dunckel Rd,Red Roof Inn Lansing East - Michigan State University
148 John Sims Pkwy W,Comfort Suites At Eglin Air Force Base
33 Tamiami Trl,Four Points by Sheraton Punta Gorda Harborside
1020 N San Vicente Blvd,The London West Hollywood
185 State St,Harborside Inn
1595 Post Rd E,The Westport Inn
31781 Casino Dr,Best Western Plus Lake Elsinore Inn & Suites
15905 River Rd,Guerneville Lodge
4048 Sonoma Hwy,The Carneros Inn
14227 Jones St,Super 8 Lavonia
3415 N Nebraska Ave,Jayhawk Motel
17 Seabring St,Comfort Inn Red Hook
6300 Terminal Dr,Quality Inn Oklahoma City Airport
3570 Las Vegas Blvd S,Nobu Hotel at Caesars Palace
1571 Poipu Rd,Grand Hyatt Kauai Resort & Spa
75 Wentworth St,The Restoration
4994 Westone Plz,Hyatt Place Chantilly Dulles Airport South
1083 US Highway 206,Ramada Bordentown
10309 Highland Manor Dr,Hilton Garden Inn Tampa East/brandon
10860 Fairfax Blvd,Hampton Inn-fairfax City
901 Prices Fork Rd,The Inn At Virginia Tech And Skelton Conference Center
20 Beacon Dr,Home2 Suites By Hilton Greenville Airport
95 Main St,Ludlow Village Inn & Suites
1500 N Cherry St,Inn Of Knoxville
535 Wall St,"Country Inn & Suites By Carlson, Bowling Green, KY"
3250 Scottsville Rd,Drury Inn Bowling Green
616 Convention Way,Clarion Hotel Anaheim Resort
2260 Elkhorn Rd,Motel 6
1549 Westborough Dr,Best Western Premier Energy Corridor
2725 Buchanan Ave SW,Best Western Executive Inn Suites
2376 Carpenter Rd,Comfort Inn Suites
5000 Mercedes Blvd,Hampton Inn Suites Camp Springs/Andrews AFB
920 S Taylor Ave,Home2 Suites by Hilton St. Louis/ Forest Park
630 W Bay St,Comfort Suites Historic District
2171 Gordon Hwy,Hampton Inn Augusta/Gordon Highway
100 Main St,Kalispell Grand Hotel
3170 N Sanders St,Holiday Inn Express & Suites Helena
2600 Bishop Dr,San Ramon Marriott
3430 Venture Pkwy,Extended Stay America Atlanta - Duluth
19 N 8th St,Hampton Inn Suites Minneapolis/Downtown
4250 Belmont Ave,Rodeway Inn
1811 N Moore Ave,Best Western Greentree Inn & Suites
140 N 4th St,Galt House Hotel
2800 Campus Walk Ave,Millennium Hotel Durham
3735 W Imperial Hwy,Diamond Inn
1515 NW Expressway,Courtyard Oklahoma City Northwest
2110 N Franklin Dr,Comfort Inn & Suites
9010 E 71st St,Holiday Inn Express Tulsa-Woodland Hills
1920 E Higgins Rd,Days Inn Elk Grove Village/chicago/ohare Airport West
3600 Nw 39th St,Carlyle Motel
1314 W Grove St,Modern Hotel & Bar
100 Lakeside Ave E,Hilton Cleveland Downtown
334 Mason St,King George Hotel
2180 Motel Dr,Residence Inn Allentown Bethlehem/Lehigh Valley Airport
1600 Lamar St,Lobby Bar
2410 W El Camino Ave,Residence Inn Sacramento Airport Natomas
7146 Old Waterloo Rd,Comfort Suites Columbia Gateway
1160 Winterson Rd,Residence Inn Baltimore BWI Airport
295 Lakeview Ave,Hyatt Place West Palm Beach/Downtown
2901 Mustang Xing,Holiday Inn Express & Suites Greenville
3265 Boardwalk St,Extended Stay America - Detroit/Ann Arbor - University South
224 2nd Ave S,Best Western Plus Mid Nebraska Inn & Suites
5200 N Ocean Blvd,Dunes Village Resort
350 E Hiawatha Dr,Wilderness On The Lake
5415 Westheimer Rd,Aloft Houston by the Galleria
720 Fannin St,Club Quarters Hotel in Houston
2150 11th Ave,Fairfield Inn Helena
4545 Chabot Dr,Hyatt House Pleasanton
97 Camelot Dr,Best Western Plus Ruidoso Inn
222 Searsport Ave,Admiral's Ocean Inn
4407 Business 220,Quality Inn Bedford
8708 Alicia Dr,Best Western Plus Easton Inn Suites
6451 Bayside Ln,Sleep Inn Suites Harbour Pointe
831 W Main St,Luray Caverns Motel East
122 River St,Grey Gables Mansion
2430 N Branch Rd,Robert Frost Mountain Cabins
5302 Crossroads Pkwy,Hampton Inn Texarkana Arkansas
5094 State Park Rd,Sleep Inn Suites
2406 N Trade Days Blvd,Quality Inn Suites Canton
2211 Market St,Pear Tree Inn St. Louis Near Union Station
11777 Harbor Blvd,Hilton Garden Inn Anaheim-Garden Grove
7925 Forest Pine Dr,Sonesta Es Suites Charlotte
722 York Rd,Quality Inn
4119 Southstream Blvd,Hyatt Place Charlotte Airport/lake Pointe
19454 Ventura Blvd,St George Motor Inn
250 Main St,250 Main Hotel
204 Market St,Lydia Johnson Inn
1801 W Pinhook Rd,Wyndham Garden Lafayette
715 New Rd,Budget Inn
28 W Bridge St,Olivia's Bridge Street Inn
3000 Riverside Ave,The Oaks Hotel
7605 Brentwood Blvd,Hampton Inn Brentwood
99 East Ave,Norwalk Inn & Conference Center
237 Meeting St,King Charles Inn
2500 N Surf Rd,Walkabout Beach Resort
300 Roy St,Maxwell Hotel
10978 State Route 23,Cave Mountain Motel
520 W Bryan St,Holiday Inn Savannah Historic District
40 Devon Dr,Sea Captain Resort On The Bay
5369 Hutton Dr,Urbana Inn & Suites
1716 Jefferson St,Quality Inn & Suites Jefferson City
1656 Monterey St,Sunbeam Motel
820 39th St,Kings Hotel
103 N 6th St,Brown Hotel
7070 Poe Ave,Hawthorn Suites By Wyndham Dayton North
3934 Grandview Dr,Hampton Inn Greenville/simpsonville
1846 Catasauqua Rd,Red Roof Inn Allentown Airport
320 River Market Ave,Hampton Inn & Suites Little Rock-downtown
510 Whiterock Ave,The Inn At Crested Butte
155 Airport Rd,Hangar Hotel
242 E Meadow Dr,Austria Haus Hotel
5220 Forest Dr,Hampton Inn & Suites New Albany Columbus
70 Chris Perry Ln,Comfort Suites East Broad At 270
1420 Atlantic Ave,Hotel Luxe
313 Hayes St,Caribbean Resort By The Ocean
6233 Ne 78th Ct,Radisson Hotel-Portland Airport
2015 S Atlantic Ave,Grand Prix Motel
2001 S Meridian Ave,Wingate By Wyndham Oklahoma City Airport
6701 N Interstate Ave,Viking Motel
2 Somerset Pkwy,Crowne Plaza Hotel Nashua
363 W 16th St,The Maritime Hotel
328 E Sheridan Ave,Hilton Garden Inn Oklahoma City-Bricktown
2 Waterfront Pl,Waterfront Place Hotel
9985 Park Meadows Dr,Element Denver Park Meadows
401 Lenora St,Warwick Seattle Hotel
120 S Main St,"The Westin Poinsett, Greenville"
555 S Orchard Ave,Best Western Orchard Inn
2625 Main St,Best Western Adirondack Inn
1967 Hilltop Dr,Oxford Suites Redding
959 Reinli St,Fairfield Inn Suites Austin-University Area
6711 N Interstate 35,Drury Inn Suites Austin North
1391 W Thatcher Blvd,Best Western Desert Inn
310 N Madison Ave,Hilton Garden Inn Yuma Pivot Point
2655 S 4th Ave,Arizona Inn Suites
1580 E Route 66,Western Hills Motel
2285 E Butler Ave,Rodeway Inn Suites
1105 E Sheldon St,Quality Inn
154 S Montezuma St,The Grand Highland Hotel
126 E Lowry Ln,Home2 Suites by Hilton Lexington University / Medical Center
1920 Plaudit Pl,Sleep Inn
3959 Clay St,Econo Lodge
103 Wingate Ter,Wingate by Wyndham LaGrange-Callaway
480 Plantation Dr,Hampton Inn Elkins
84 S Park Dr,Quality Inn Colchester - Burlington
1407 Martin Luther King Jr Dr,Quality Inn
2113 N Jackson St,Baymont Inn Suites - Tullahoma
410 Pine St,The Stardust Motel
740 E Pike Ave,Git's Big Sky Motel
7570 Woodspoint Dr,Home2 Suites by Hilton Florence Cincinnati Airport South
653 Phillips Ln,Comfort Inn Suites Airport and Expo
321 Xenia Ave,Mills Park Hotel
3024 Vine St,Hampton Inn Suites Cincinnati/Uptown-University Area
27 W Main St,The Captain's Manor Inn
6160 Mills Civic Pkwy,Hampton Inn Suites West Des Moines/SW Mall Area
45 Ludwig Dr,"Super 8 Fairview Heights, St. Louis"
800 Station Dr,Hampton Inn & Suites Dupont
1181 Airport Rd,Econo Lodge
864 Ben Ali Dr,Comfort Suites
1317 Ursulines Ave,Empress Hotel
2015 Old Minden Rd,Hilton Garden Inn Shreveport Bossier City
127 State Rd,Litson Villas
851 E Columbus Ave,Hampton Inn & Suites Springfield/Downtown
3831 Park Mill Run Dr,Best Western Hilliard Inn Suites
25 Hotel Cir NE,Ramada Albuquerque East
390 N Sandhill Blvd,Best Western Mesquite Inn
2100 S Casino Dr,Colorado Belle Hotel And Casino
455 Riverstone Pkwy,Hilton Garden Inn Kankakee
1819 Ocean Ave,Cameo Bar at Viceroy Santa Monica
1612 McClure Cv,Holiday Inn Express & Suites Tupelo
1633 N 12th Ct,Sleep Inn & Suites Van Buren
777 W Lake Mead Pkwy,Fiesta Henderson Hotel & Casino
201 N Saint Marys St,Drury Inn Suites San Antonio Riverwalk
2006 N Ocean Blvd,Red Parrot Cafe @ Breakers Resort
801 N Loop 1604 E,Drury Inn Suites San Antonio North Stone Oak
2200 Brookhollow Plaza Dr,Hampton Inn Suites Dallas-Arlington North-Entertainment District
N5781 State Road 78,Days Inn Portage
345 Main St,The Niantic Inn
2016 W Eagle Rd,Americas Best Value Inn-weatherford
235 Beach Ave,Village Inn & Suites
3100 Dallas Pkwy,Hyatt Place Dallas Plano
8910 Stanford Blvd,Courtyard Columbia
499 Market St,Element Basalt - Aspen
5500 Hilton Ave,Baton Rouge Marriott
1004 Ocean Blvd,Seaside Inn
620 75th Ave N,Hampton Inn Myrtle Beach-Northwood
7060 E County Line Rd,Comfort Suites Highlands Ranch Denver Tech Center Area
2007 Colby Taylor Dr,Comfort Suites
5220 E 11th St,Desert Hills Motel
1950 N Haggerty Rd,Hampton Inn Suites Detroit-Canton
1375 W State Route 55,Quality Inn Troy
5434 Kearny Mesa Rd,Hampton San Diego-Kearny Mesa
205 E 6th Ave,Inn At The 5th
1524 W Lincolnway,Atlas Motel
51 Arnot Rd,Hampton Inn-elmira/horseheads
2115 Sw 13th St,Home2 Suites By Hilton Gainesville
1307 E Market St,Hilton Garden Inn Akron
2600 Housley Rd,"Country Inn & Suites By Carlson, Annapolis,"
6608 Old Collamer Rd,Americas Best Value Inn-east Syracuse
1030 Wisconsin Dells Pkwy,Alakai Hotel & Suites
2431 3rd Ave W,My Place Hotel-dickinson Nd
930 Hilgard Ave,W Los Angeles - West Beverly Hills
134 Manitou Ave,Dillon Motel
613 Grand Avenue,Americas Best Value Inn Bighorn Lodge
251 NE Goodfellow St,Best Western Inn Suites
4695 Racquet Club Dr,Vail Racquet Club Mountain Resort
1219 Greene St,Grand Imperial Hotel
3200 Outlet Blvd,Sleep Inn Suites
195 S Colorado Ave,Comfort Inn
150 W Main St,Cougar Land Motel
547 Highway 50,Prospector Motel
281 Daniel Webster Hwy,Church Landing at Mill Falls
700 W Court St,The Winnfield Lodge
309 SW Broadway,The Benson Hotel
1025 S Main St,Best Western Paradise Inn of Nephi
306 S Alister St,Americas Best Value Inn - Corpus Christi/Port Aransas
8005 NE Parkway Dr,Residence Inn Portland North / Vancouver
894 W Onstott Frontage Rd,Best Western Yuba City Inn
1208 E Ojai Ave,Hummingbird Inn
540 E Jackson Blvd,Best Western Black Hills Lodge
237 Russell St,Comfort Inn
2905 Sheridan St,Holiday Inn Ft. Lauderdale-Airport
16102 Theme Park Way,Best Western Kings Quarters
1400 Jefferson Davis Hwy,Americana Hotel
1022 Cosby Hwy,Holiday Inn Express & Suites Newport South
6555 Boulder Hwy,Siena Suites
3950 Tuller Rd,Quality Inn Suites
800 15th St,Aloft Denver Downtown
200 Chestnut St,Courtyard Chattanooga Downtown
6737 Mahan Dr,Quality Inn Suites
1 Hampton Way,Hampton Inn New Bedford/Fairhaven
3459 SW Williston Rd,Rodeway Inn
1701 N Ocean Dr,Ocean Drive Villas
1601 Worthington Rd,Hampton Inn West Palm Beach Central Airport
1640 Hilltop Dr,Motel 6
115 Meeting St,The Mills House Wyndham Grand Hotel
190 Old Gate Ln,Hyatt Place Milford
2683 Energy Dr,Best Western Plus Richmond Inn & Suites-Baton Rouge
2020 Old Peshtigo Ct,"Country Inn & Suites By Carlson, Marinette, WI"
680 E 24th St,Baymont Inn & Suites-holland
15131 Thatcher Ln,Holiday Inn Express & Suites Carmel-north Indianapolis
217 Centerview Dr,Hilton Garden Inn Nashville Brentwood
1920 Cardinal Ln,Days Inn Faribault
205 Washington St,Days Inn-ellis
110 14th St W,Hampton Inn & Suites Dickinson
16 Glenmaura National Blvd,Courtyard Scranton Wilkes-Barre
539 Parkway,Best Western Twin Islands
49500 Seminole Dr,Morongo Casino Resort & Spa
1 Park Ave,Aloft Detroit at The David Whitney
501 W Washington St,Fairfield Inn & Suites Indianapolis Downtown
123 N Highland Ave,Hotel Indigo Pittsburgh East Liberty
10100 International Dr,DoubleTree by Hilton Hotel Orlando at SeaWorld
3202 E Kimberly Rd,Days Inn
2520 Wasser Ter,The Westin Washington Dulles Airport
4009 Parkview Dr,Comfort Inn Suites
1008 Lunar Dr,Best Western Wapakoneta Inn
5100 Frontage Rd,Hampton Inn Suites Monroe
205 Cranberry Rd,Hampton Inn Galax
2368 Lee Hwy,Comfort Inn
1125 N Loretto Rd,Hampton Inn Lebanon
7010 Tower Rd,Red Lion Inn Suites Denver Airport
191 Railroad Ave,Mesa Verde Motel
2255 9th St,Comfort Inn
1415 Grand Ave,The Norwood Inn
1417 Barlow Rd,Comfort Inn
230 Lucile Ave,Residence Inn Decatur Forsyth
754 Horizon Dr,Americas Best Value Inn Grand Junction
1235 E Main St,Comfort Inn
2466 Toomey Rd,Best Western Casino Inn
201 E Route 66,Rodeway Inn Suites Downtowner-Rte 66
730 N Main St,Port Motel
2001 E Reno Ave,Ramada Oklahoma City Near Bricktown
935 NW Garfield Ave,Econo Lodge
1200 N Walker Ave,"Ambassador Hotel Oklahoma City, Autograph Collection"
11895 N Meridian St,Residence Inn Indianapolis Carmel
10675 N Pennsylvania St,Staybridge Suites Indianapolis-Carmel
2840 S Caraway Rd,Hilton Garden Inn Jonesboro
127 S Gulph Rd,Best Western Plus The Inn at King of Prussia
2630 SW 17th Pl,Best Western Plus Rama Inn
3158 N Gloster St,Best Western Plus Tupelo Inn & Suites
1916 Coliseum Dr,Best Western Hampton Coliseum Inn
117 Fort Evans Rd NE,Hampton Inn Suites Leesburg
204 Cherokee Orchard Rd,Jack Huff's
W9250 Prospect Dr,Quality Inn Suites
61 W Grand Ave,Old Colonial Motel
2582 N Westwood Blvd,Comfort Inn
5702 Us Highway 21,Americas Best Value Inn Jonesville
987 S Hemlock St,Harrison Street Inn
8035 Oliver Rd,"Home2 Suites by Hilton Erie, PA"
10 Lafayette Sq,Hilton Garden Inn Buffalo Downtown
1999 Walden Ave,Home2 Suites by Hilton Buffalo Airport/Galleria Mall
8040 Perry Hwy,Quality Inn Suites Conference Center
255 Park St,Tupper Lake Motel
130 E Seneca St,Hilton Garden Inn Ithaca
5355 Route 212,Catskill Rose Lodging Dining
3535 Fisher Rd NE,Crossland Economy Studios Salem - North
6845 W 103rd Ave,SpringHill Suites Denver North/Westminster
515 South St,Hampton Inn Concord/Bow
7800 2nd Ave S,Super 8 Bloomington/Airport
750 Stelzer Rd,Days Inn Columbus Airport
4105 19th St,Americas Best Value Inn - Medical Center / Lubbock
210 S Race St,Urbana Landmark Hotel
4950 NE 14th St,Quality Inn
892 Edelweiss Strasse,Alpine River Suites
737 State Rd,Best Western Dartmouth Inn
5505 Brainerd Rd,Economy Inn
711 E 12th St,Shamrock Country Inn
401 Lowell Ave,Best Western Merrimack Valley
1005 Kingswood Pl,Wingate By Wyndham Alpharetta
805 Industrial Blvd,Best Western Mcdonough Inn & Suites
3647 W 5th Ave,Silverstone Inn & Suites
6200 US Highway 20,Best Western Plus-portage Hotel & Suites
1 Dillon Rd,Hampton Inn Hilton Head
421 S Milpas St,Blue Sands Motel
205 Main St,The Park On Main Hotel
4219 Genesee St,Aloft Buffalo Airport
1601 S Surf Rd,Enchanted Isle Resort
12197 N Meridian St,Hampton Inn Indianapolis/carmel
10150 Metro Pkwy,Suburban Extended Stay Hotel
1201 S 13th St,Norfolk Country Inn & Suites
8011 Galleria Pkwy,Residence Inn St. Louis Galleria
102 Reddick Rd,Hampton Inn Kingsland
Po Box 110,Hemlock Hall
2902 State Route 28,Christy's Motel
1660 University Blvd NE,Home2 Suites by Hilton Albuquerque/Downtown-University
3695 Cerrillos Rd,Motel 6 Santa Fe - Cerrillos Road South
123 S Mill St,Americas Best Value Inn Pryor
8217 S I 35 Service Rd,Days Inn Oklahoma City/Moore
5926 Cross Creek Blvd,Best Western Plus Fort Wayne Inn Suites North
801 Ocean Shores Blvd NW,Sands Resort
7525 Two Notch Rd,Best Western Plus Columbia North East
325 W Main St,Comfort Suites Lexington
3026 Washington Rd,Super 8 Augusta
2911 Riverwest Dr,Comfort Suites
2913 S Ocean Blvd,Crown Reef Beach Resort and Waterpark
125 Arsenal Rd,Motel 6 York North
137 Gibb Rd,Quality Inn
95 Harbor Dr,Bass Harbor Cottages and Country Inn
61 South Rd,Chebeague Island Inn
3000 Marina Dr,Best Western Plus Lake Front Hotel
1035 NW Harbor Ave,Sailor Jack Ocean Front Motel
3708 Plaza Dr,Motel 6
150 W 5th St,Millennium Hotel Cincinnati
2720 N MacArthur Dr,Best Western Of Alexandria Inn & Suites & Conference Center
5630 W 10th St,Days Inn Greeley
203 E Grand Ave,Royal Anchor Resort
2800 Esperanza Xing,Home2 Suites by Hilton Austin North/Near the Domain
3828 W Wall St,Super 8 Midland
3923 John Ben Shepperd Pkwy,Hampton Inn Odessa
2400 Executive Park NW,Mountain View Inn
424 E Parkcenter Blvd,SpringHill Suites Boise Parkcenter
650 Laconia Rd,Econo Lodge Inn Suites
345 Mystic Dr,Solstice Motorcoach Resort
441 International Center Dr,Hilton Garden Inn Richmond Airport
3221 S Atlantic Ave,Daytona Shores Inn And Suites
20 Summit Oak Pl,Hampton Inn Suites Deland
31 Holiday Dr,Kimberling Oaks Resort
2115 Fall River Rd,Timber Creek Chalets
47 Old Mill Rd,The Mountain Inn
181 Bluebell Dr SW,Americas Best Value Inn New Philadelphia
3160 Olentangy River Rd,Hampton Inn Suites Columbus/University Area
788 Laconia Rd,Rodeway Inn
289 Magic Mtn Access,Blue Gentian Lodge
1550 Crossways Blvd,Comfort Suites
200 Market Place Dr,Jameson Inn - Perry
2045 Parkway,Microtel Inn Suites by Wyndham Pigeon Forge
487 Creighton Rd,Springhill Suites Pensacola
481 Creighton Rd,TownePlace Suites Pensacola
